video_id;view_count;tags;url;duration_in_seconds
yDHMwQEHf2E;561;Bosphorus, Uskudar, Eminonu, Istanbul, Kadikoy, Sariyer, Bebek, Turkey, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=yDHMwQEHf2E;204
G-BuJUgB8Mo;2930;Israel, Gaza, Palestine, Fuel Transfer, Qatar, The Un, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=G-BuJUgB8Mo;91
_eXIiH6rkuM;7763;USA, Sanctions, Disappearance, Saudi Arabia, Consulate, Jamal Khashoggi, US, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=_eXIiH6rkuM;68
d4C-Ko8WwG4;3694;Donald Trump, Mohammed Bin Salman, Jamal Khashoggi, Saudi Arabia, Ritz Carlton, Qatar, Human Rights, Yemen, Turkey, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=d4C-Ko8WwG4;152
l7vITsWV-I4;5148;Jamal Khashoggi, Arabs, Adnan Khashoggi, Critic, Khashoggi, Human Interest, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=l7vITsWV-I4;90
0wn0_Do_tvQ;4261;Saudi Arabia, Turkey, Jamal Khashoggi, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=0wn0_Do_tvQ;83
TGepcNtPaho;945;Taliban, Afghanistan, Parliament, 2018, Candidate, Election, Women, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=TGepcNtPaho;60
0GYTAJqiTcg;68946;India, Uttar Pradesh, Politics, Allahabad, Indian Hindus, Yogi Ministry, Yogi Adityanath, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=0GYTAJqiTcg;45
s4WO4aHUIYc;2104;Ara Guler, Ara Güler, Photographer, Istanbul, Human Interest, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=s4WO4aHUIYc;96
-OHgoIZkalM;1046;Children, Nigeria, Yemen, Sudan, Starvation, Famine, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=-OHgoIZkalM;52
8BTMyCKSRPo;6620;Washington Post, Final Column, Consulate, Jamal Khashoggi, Saudi Arabia, Murder, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=8BTMyCKSRPo;76
nkcLFix2EbQ;93189;Mbs, Khashoggi, Istanbul, Murder, Saudi Arabia, Trump, Middle East, Turkey, Wadah Khanfar, Al Sharq, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=nkcLFix2EbQ;529
SZ8hbMlkgrY;1604;Adiyaman, Hierothesion, Turkey, Trtworld, Cigkoftefestival, Cigkofte, Nemrutdagi, Nemrut, Mountnemrut, Karakus, Taurusmountains, Kahta, Parthian, Mesopotamia, Cenderebridge, Antiochis, Antiochos, Antiochus, Commagene, Sevranbridge, Cenederekoprusu, Roman, Armenian, Hittite, Markanthony, Marcantony, Dariusthegreat, Marcusantonius, Alexanderthegreat, Laodice, Thyche, Mithradates, Ancienttreasure, Pantheon, Shrine, Zues, Apollo Hercules Antiochustheos Herakles TRT TRT World, TRT News;https://www.youtube.com/watch?v=SZ8hbMlkgrY;554
0cZOR-qIWVQ;3782;Jamal Khashoggi, Mohammed Bin Salman, Saudi Arabia, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=0cZOR-qIWVQ;42
oZdLxRCeLbo;1224;Khashoggi, Jamal, Market, Investors, Saudi, Stock, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=oZdLxRCeLbo;53
UeyekZdgImU;5802;Abusive Behaviour, London, Racist, Ryanair, Flight, Barcelona, #boycottryanair, Racial Discrimination, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=UeyekZdgImU;67
LiEgz-S9UCU;1926;Bridge, World's Longest Sea Bridge, China, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=LiEgz-S9UCU;69
MPJwHYLR5pY;7418;Istanbul, Mohammed Bin Salman, Jamal Khashoggi, Saudi Arabia, Consulate, Murder, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=MPJwHYLR5pY;105
S792UWwhk0M;27945;Prince, Architect, Saudi Arabia, Crown Prince, Yemen, Heirs Apparent, Royalty, Western Asia, Middle East, Politics, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=S792UWwhk0M;278
5N8yYeynXZs;77691;Khashoggi, Salah, Saudi, Jamal, Mbs, Consulate, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=5N8yYeynXZs;86
djrHfEOpgWE;2807;Revolutionary, Iran, Islamic, Guard, Bahrain, Army, List, Terror, Saudi Arabia, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=djrHfEOpgWE;53
TDshgPwtVmA;440;Aegean Sea, Police Officer, Turkey, Boat, Migrant Crisis, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=TDshgPwtVmA;74
_7jXpEPNpBE;1556;Burqa Ban, France Face Veil Ban, Face Veil Ban, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=_7jXpEPNpBE;84
7Z6sVfo3v8o;26720;Michael Cole, Wwe, Mohammed Bin Salman, Jamal Khashoggi, Mbs, Saudi Arabia, Conference, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=7Z6sVfo3v8o;134
kX-9ePmWlMk;2097;Consulate, Khashoggi, Embassy, Vigil, Yemen, Saudi, War, Journalist, Politics, Saudi Consulate, Jamal Khashoggi, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=kX-9ePmWlMk;79
Si5e27bDo3I;450;Francisco Franco, Protest, Madrid, Almudena Cathedral, Spanish Civil War., TRT, TRT World, TRT News;https://www.youtube.com/watch?v=Si5e27bDo3I;57
6GdudSH39mg;8654;Brasil Far-right, Brasil Corruption, Brasil Populism, Brasil Elections 2018, Brasil, Jair Bolsonaro, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=6GdudSH39mg;263
GbOLfQbkWj0;125925;Istanbulnewairport, Iga, Airport, Istanbul, Terminal, Istanbulgrandairport, Yenihavalimani, Turkey, Islamicart, Turkishart, Infrastructure, Architecture, Historic, Awardwinning, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=GbOLfQbkWj0;140
2SqPQ16rt3c;1791;France, Germany, Turkey, Syrian War, Idlib, Russia, Summit, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=2SqPQ16rt3c;57
kVxOMIaNypY;627;Joan Nalubega, Soap, Malaria, Uganda, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=kVxOMIaNypY;59
EIhE4NqatEg;1851;Jewish Community, Synagogue Attack, United States, Pennsylvania, Jew, Pittsburgh, Gunman, Tree of Life Synagogue, Mass Shooting, Robert Bowers, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=EIhE4NqatEg;102
